Sample in Buffer,Sample in Window,TRIGGER,xgmii_rxd[63:0],xgmii_rxc[7:0]
734,734,0,0707070707070707,ff
735,735,0,0707070707070707,ff
736,736,0,0707070707070707,ff
737,737,0,0707070707070707,ff
738,738,0,0707070707070707,ff
739,739,0,0707070707070707,ff
740,740,0,0707070707070707,ff
741,741,0,0707070707070707,ff
742,742,0,0707070707070707,ff
743,743,0,0707070707070707,ff
744,744,0,0707070707070707,ff
745,745,0,0707070707070707,ff
746,746,0,0707070707070707,ff
747,747,0,0707070707070707,ff
748,748,0,0707070707070707,ff
749,749,0,0707070707070707,ff
750,750,0,0707070707070707,ff
751,751,0,0707070707070707,ff
752,752,0,0707070707070707,ff
753,753,0,0707070707070707,ff
754,754,0,0707070707070707,ff
755,755,0,0707070707070707,ff
756,756,0,0707070707070707,ff
757,757,0,0707070707070707,ff
758,758,0,0707070707070707,ff
759,759,0,0707070707070707,ff
760,760,0,0707070707070707,ff
761,761,0,0707070707070707,ff
762,762,0,0707070707070707,ff
763,763,0,0707070707070707,ff
764,764,0,0707070707070707,ff
765,765,0,0707070707070707,ff
766,766,0,0707070707070707,ff
767,767,0,0707070707070707,ff
768,768,0,0707070707070707,ff
769,769,0,0707070707070707,ff
770,770,0,0707070707070707,ff
771,771,0,0707070707070707,ff
772,772,0,0707070707070707,ff
773,773,0,0707070707070707,ff
774,774,0,0707070707070707,ff
775,775,0,0707070707070707,ff
776,776,0,0707070707070707,ff
777,777,0,0707070707070707,ff
778,778,0,0707070707070707,ff
779,779,0,0707070707070707,ff
780,780,0,0707070707070707,ff
781,781,0,0707070707070707,ff
782,782,0,0707070707070707,ff
783,783,0,0707070707070707,ff
784,784,0,0707070707070707,ff
785,785,0,0707070707070707,ff
786,786,0,0707070707070707,ff
787,787,0,0707070707070707,ff
788,788,0,0707070707070707,ff
789,789,0,0707070707070707,ff
790,790,0,0707070707070707,ff
791,791,0,0707070707070707,ff
792,792,0,0707070707070707,ff
793,793,0,0707070707070707,ff
794,794,0,0707070707070707,ff
795,795,0,0707070707070707,ff
796,796,0,0707070707070707,ff
797,797,0,0707070707070707,ff
798,798,0,0707070707070707,ff
799,799,0,0707070707070707,ff
800,800,0,0707070707070707,ff
801,801,0,0707070707070707,ff
802,802,0,0707070707070707,ff
803,803,0,0707070707070707,ff
804,804,0,0707070707070707,ff
805,805,0,0707070707070707,ff
806,806,0,0707070707070707,ff
807,807,0,0707070707070707,ff
808,808,0,0707070707070707,ff
809,809,0,0707070707070707,ff
810,810,0,0707070707070707,ff
811,811,0,0707070707070707,ff
812,812,0,0707070707070707,ff
813,813,0,0707070707070707,ff
814,814,0,0707070707070707,ff
815,815,0,0707070707070707,ff
816,816,0,0707070707070707,ff
817,817,0,0707070707070707,ff
818,818,0,0707070707070707,ff
819,819,0,0707070707070707,ff
820,820,0,0707070707070707,ff
821,821,0,0707070707070707,ff
822,822,0,0707070707070707,ff
823,823,0,0707070707070707,ff
824,824,0,0707070707070707,ff
825,825,0,0707070707070707,ff
826,826,0,0707070707070707,ff
827,827,0,0707070707070707,ff
828,828,0,0707070707070707,ff
829,829,0,0707070707070707,ff
830,830,0,0707070707070707,ff
831,831,0,0707070707070707,ff
832,832,0,0707070707070707,ff
833,833,0,0707070707070707,ff
834,834,0,0707070707070707,ff
835,835,0,0707070707070707,ff
836,836,0,0707070707070707,ff
837,837,0,0707070707070707,ff
838,838,0,0707070707070707,ff
839,839,0,0707070707070707,ff
840,840,0,0707070707070707,ff
841,841,0,0707070707070707,ff
842,842,0,0707070707070707,ff
843,843,0,0707070707070707,ff
844,844,0,0707070707070707,ff
845,845,0,0707070707070707,ff
846,846,0,0707070707070707,ff
847,847,0,0707070707070707,ff
848,848,0,0707070707070707,ff
849,849,0,0707070707070707,ff
850,850,0,0707070707070707,ff
851,851,0,0707070707070707,ff
852,852,0,0707070707070707,ff
853,853,0,0707070707070707,ff
854,854,0,0707070707070707,ff
855,855,0,0707070707070707,ff
